rid,age,race,latino,vote12,vote16,media,partyid,income,obama.th,trump.th,biden.th
2497,32,3,1,2,,4,1,15,70,30,30
2498,68,1,2,1,,2,3,8,60,0,15
2499,37,1,2,1,,2,3,9,55,0,4
2500,72,1,2,1,1,2,2,5,0,100,0
2501,62,1,2,1,1,1,1,3,100,0,100
2502,40,4,2,1,,3,3,1,50,,65
2503,80,1,2,1,,2,2,11,0,100,0
2504,34,1,2,1,,2,3,15,75,40,70
2505,80,1,2,1,1,1,1,10,100,0,85
2506,71,1,2,1,1,2,1,21,100,0,85
2507,61,1,2,1,,2,2,19,30,90,15
2508,51,4,2,1,,1,2,8,15,85,15
2509,50,2,2,1,,2,3,4,85,0,70
2510,38,1,2,1,,3,3,22,55,0,30
2511,67,1,2,1,1,1,2,13,85,15,70
2512,63,2,2,1,1,1,3,15,100,0,85
2513,49,1,2,2,1,2,3,17,30,60,15
2514,67,1,2,1,1,2,2,,0,85,0
2515,60,1,2,1,,1,3,19,85,0,70
2516,27,3,1,2,,2,5,22,45,75,0
2517,26,1,2,1,,2,1,22,100,0,85
2518,50,3,1,2,,2,3,19,60,0,87
2519,52,1,2,2,,2,3,21,70,0,85
2520,72,1,2,1,1,1,2,18,5,90,5
2521,35,3,1,1,1,3,1,7,100,0,80
2522,73,1,2,1,1,2,2,9,30,85,15
2523,61,1,2,2,2,,2,1,30,60,0
2524,59,1,2,1,1,1,2,20,30,85,15
2525,59,1,2,2,,1,2,21,0,100,15
2526,36,,,,,2,2,,0,85,15
2527,56,1,2,1,1,3,3,8,0,85,50
2528,31,1,2,2,2,3,3,11,70,40,40
2529,42,1,2,1,1,2,1,1,100,0,80
2530,37,1,2,2,2,3,2,,40,85,0
2531,67,1,2,1,1,1,2,11,15,85,0
2532,79,1,2,1,1,2,1,10,85,50,70
2533,49,1,2,1,1,2,1,20,100,0,90
2534,37,1,2,1,,2,2,20,40,90,40
2535,70,1,2,1,,2,2,2,60,70,50
2536,58,2,2,1,1,2,3,1,100,50,85
2537,25,1,2,2,,,1,11,85,0,70
2538,42,1,2,1,,2,2,13,30,85,30
2539,25,1,2,2,1,4,5,10,70,40,15
2540,80,4,2,1,,,2,12,85,70,50
2541,55,1,2,2,2,3,3,3,40,70,50
2542,57,3,1,2,1,2,2,4,0,100,0
2543,44,1,2,1,1,1,1,22,100,,100
2544,56,1,2,1,,2,2,19,0,90,15
2545,55,4,2,2,,4,3,16,50,0,40
2546,63,1,2,1,1,1,1,9,100,0,85
2547,40,3,1,2,2,2,5,4,70,30,30
2548,60,1,2,1,,2,2,12,15,85,0
2549,55,1,2,1,1,4,3,16,85,0,60
2550,70,1,2,1,1,2,3,3,50,60,40
2551,52,1,2,1,1,3,2,12,0,85,0
2552,35,1,2,1,1,2,1,22,100,0,75
2553,47,1,2,2,,2,1,16,60,15,60
2554,62,1,2,1,,3,3,22,60,70,30
2555,35,1,2,1,1,3,3,22,75,65,40
2556,70,1,2,1,,1,3,5,15,70,15
2557,43,1,2,1,,4,1,15,85,40,50
2558,54,1,2,2,,3,2,5,30,50,60
2559,36,1,2,1,,3,2,16,50,85,15
2560,39,1,2,2,1,2,2,14,35,65,40
2561,38,1,2,2,1,3,2,17,60,70,
2562,44,1,2,1,,3,2,19,0,100,0
2563,41,1,2,1,,2,2,20,70,85,30
2564,40,1,2,2,,2,3,6,40,70,30
2565,41,1,2,1,,2,3,22,100,0,80
2566,44,1,2,1,,1,5,16,0,100,0
2567,63,5,2,1,,1,3,,100,0,100
2568,77,2,2,1,1,2,1,6,100,0,100
2569,26,2,2,1,,3,1,6,100,30,50
2570,68,1,2,1,,1,1,16,100,0,85
2571,80,1,2,1,,2,3,,0,0,30
2572,58,1,2,1,2,2,1,10,85,0,85
2573,,1,2,1,,2,3,3,60,40,60
2574,43,1,2,2,1,3,2,14,15,70,15
2575,37,1,2,1,1,2,3,21,100,0,85
2576,46,3,1,1,1,1,2,18,0,85,0
2577,31,2,2,1,,3,1,1,100,15,70
2578,74,1,2,1,1,2,1,7,100,0,80
2579,29,4,2,2,1,3,3,3,70,0,60
2580,51,1,2,1,1,2,3,3,20,100,0
2581,36,1,2,1,1,2,2,12,0,70,40
2582,80,3,1,1,1,,1,,100,0,100
2583,35,1,2,2,1,3,3,15,30,85,
2584,61,1,2,1,1,1,2,22,,,
2585,23,3,1,2,,3,3,21,70,15,50
2586,47,2,2,1,1,3,1,5,100,0,85
2587,62,1,2,1,1,3,5,14,15,85,15
2588,45,1,2,1,1,3,2,3,0,100,0
2589,72,1,2,1,2,2,3,6,80,30,70
2590,69,4,2,1,1,1,1,1,100,0,90
2591,73,1,2,1,1,2,2,12,0,100,0
2592,76,1,2,1,1,1,1,1,100,0,100
2593,55,1,2,2,,1,3,9,15,85,15
2594,70,2,2,1,1,,3,3,100,30,70
2595,71,1,2,1,1,1,3,18,0,100,0
2596,72,1,2,1,,1,1,22,100,0,85
2597,58,1,2,1,1,2,1,17,85,0,70
2598,35,1,2,2,,1,3,13,85,0,85
2599,70,1,2,1,,1,3,16,0,100,0
2600,71,1,2,1,,2,3,13,75,0,95
2601,61,5,2,1,,3,1,22,85,60,85
2602,,,2,2,,1,3,,70,0,50
2603,67,1,2,1,,3,2,21,15,15,15
2604,50,1,2,2,1,1,2,20,15,85,0
2605,32,1,2,1,1,3,1,20,70,30,40
2606,33,1,2,1,1,3,1,18,88,2,70
2607,,1,2,1,,2,3,,70,0,85
2608,51,1,2,1,,2,1,18,88,0,60
2609,54,1,2,1,1,2,3,18,60,35,40
